2026-06-05 00:03:03.875 | ERROR    | ui.tabs.evaluation_tab:run_evaluation:97 - Evaluation tab error: RAGAS evaluation failed: The runner thread which was running the jobs raised an exeception. Read the traceback above to debug it. You can also pass `raise_exceptions=False` incase you want to show only a warning message instead.
2026-06-05 00:14:28.716 | INFO     | services.document_service:load_documents:80 - Loaded 2 pages/sections from 'd6177d1e_University_RAG_Knowledge_Base.pdf'
2026-06-05 00:14:28.717 | INFO     | services.document_service:load_documents:80 - Loaded 2 pages/sections from '7100695d_University_RAG_Knowledge_Base.pdf'
2026-06-05 00:14:28.718 | INFO     | services.rag_service:ingest_document:78 - Split into 3 chunks (size=512, overlap=50)
2026-06-05 00:14:28.718 | INFO     | services.rag_service:ingest_document:78 - Split into 3 chunks (size=512, overlap=50)
2026-06-05 00:14:28.719 | INFO     | services.vector_store_service:get_embeddings:31 - Loading embedding model: all-MiniLM-L6-v2
2026-06-05 00:14:28.719 | INFO     | services.vector_store_service:get_embeddings:31 - Loading embedding model: all-MiniLM-L6-v2
2026-06-05 00:14:36.420 | INFO     | services.vector_store_service:get_embeddings:37 - Embedding model loaded: all-MiniLM-L6-v2
2026-06-05 00:14:36.457 | INFO     | services.vector_store_service:get_embeddings:37 - Embedding model loaded: all-MiniLM-L6-v2
2026-06-05 00:14:38.987 | INFO     | services.vector_store_service:build_vector_store:71 - Indexed 3 chunks into collection 'pipeline_73f9860325b4' using model 'all-MiniLM-L6-v2'
2026-06-05 00:14:38.988 | INFO     | services.rag_service:ingest_document:105 - Pipeline ready: pipeline_id=73f9860325b4, doc_id=ff8c87e5fb2e
2026-06-05 00:14:39.014 | INFO     | services.vector_store_service:build_vector_store:71 - Indexed 3 chunks into collection 'pipeline_0ad10c73cb9b' using model 'all-MiniLM-L6-v2'
2026-06-05 00:14:39.015 | INFO     | services.rag_service:ingest_document:105 - Pipeline ready: pipeline_id=0ad10c73cb9b, doc_id=bee91dc8a68c
2026-06-05 00:15:20.201 | INFO     | services.document_service:load_documents:80 - Loaded 2 pages/sections from 'd6177d1e_University_RAG_Knowledge_Base.pdf'
2026-06-05 00:15:20.202 | INFO     | agents.evaluation_agent:generate_eval_dataset:58 - Generating 4 eval questions for pipeline '73f9860325b4'
2026-06-05 00:15:23.100 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (664 chars)
2026-06-05 00:15:23.100 | INFO     | agents.evaluation_agent:generate_eval_dataset:82 - Generated 4 evaluation questions.
